R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,R23,R24,R25,R26,R27,R28,R29,R30,R31,R32,R33,R34,R35,R36,R37,R38,R39,R40,R41,R42,R43,R44,R45,R46,R47,R48,R49,R50,R51
0.10425743,0.028736,0.06427048,0,-0.04716,0.00226087,-0.0032532,0.054282,0.0472608,0.04063918,-0.0325765,0.09107189,0.037755245,0.02690408,0.341297,0.08609554,0.039039,0.00386491,0.115716,0.05843381,0.06062378,0.10250298,0.03929924,0.01220779,0.090821,0.09090909,0.03261364,0.0877193,0.02311951,0.01761666,0.07413,0.12128956,0.06962617,0.06630398,0.10677434,0.10116301,0.019348,0.11571565,0.1,-0.0909091,0.11532701,0.04404828,0.0503638,0.07195696,0.01375798,0.040299,0.045661593,0.04210526,0.05243129,-0.01232,0.06123188
0.01497355,0.009394,0.04321694,0.05263158,0.050847,0.019694604,-0.0034348,0.036753,0.02191932,0.03529513,0.03673469,0.03305979,0.004412626,-0.0078637,0.056211,0.04073826,0.029306,0.00094723,0.058857,-0.0112669,-0.0218598,0.10567568,-0.0755125,-0.027457,0.003168,-0.0089881,0.00365009,0.00403226,-0.0010823,-0.0124675,0.010119,0.05019869,0.01587302,0.0213648,0.0432374,-0.0377951,0.029259,0.05885714,0.05827506,0.00913043,0.07341092,0.02697495,0.01007124,0.04140527,-0.0197021,0.017419,0.019124522,0.08080808,0.05263158,-0.01232,0.02492318
0.00530035,0.047951,-0.0027435,-0.0444444,0.100645,-0.025355228,0.02237991,0.056149,0.01856525,-0.0341584,0.0234252,0.04312301,8.97E-05,-0.0010172,0.036137,-0.036535,0.004755,0.00906649,0.056395,0.07520891,0.01284543,0.00097776,0.02587163,0.01583113,0.018652,0.04672953,0.01593336,0.02008032,0.01210359,0.00964405,0.012823,0.02097824,0.01103784,-0.0062441,0.04274058,0.0026761,-0.0248,0.05639504,0.01189427,0.06850495,0.02251877,0.02329042,0.00875486,0,-0.0089743,0.010334,0.008861551,0.00934579,0.07442748,-0.01232,0.05229847
0.01757469,-0.02335,0.06712517,0.09883721,-0.04748,-0.006721955,-0.0313477,-0.0067,0.00300832,0.01861395,-0.0209656,0.03894691,-0.00497557,0.00376869,-0.02205,-0.092209,0.0391,-0.0045076,-0.01609,-0.0814885,-0.0022832,-0.0686203,-0.0200552,0.03376623,-0.00785,0.03282263,-0.0135356,-0.0629921,0.00906053,0.00902657,-0.00257,-0.0091563,0.00652205,-0.0150801,-0.0032294,-0.0454628,-0.01165,-0.016092,-0.0300392,-0.0262097,-0.0252855,0.02528925,-0.0097878,-0.0448193,-0.0049628,-0.00126,-0.017050739,-0.0185185,0.04440497,-0.01232,-0.0110795
-0.0069085,0.042153,0.01031194,-0.042328,-0.04677,0.007558446,-0.0037244,0.039632,-0.0213479,0.02967801,-0.0292731,-0.0078534,-0.01959636,7.90E-05,0.030331,0.07738453,-0.00035,-0.0220021,0.035306,-0.0184615,0.01471154,-0.0235973,0.00159314,0.025,0.004589,-0.0105561,-0.0032318,0.07983193,0.00903092,0.0042341,0.011107,0.00654565,0.01521341,0.01881978,0.00847352,0.00701389,-0.05348,0.03530633,0.03231598,-0.0559006,0.01841004,0.01134612,0.00301894,0.00012614,-0.0108249,0.00428,-0.000315391,0.0754717,-0.0187075,-0.01232,0.03713188
-0.0415652,0.000809,0.01684103,0.04972376,-0.03809,0.030094208,0.04139828,-0.07544,-0.0147828,0.00215266,0.0119409,0.03651715,0.005559895,-0.0095635,0.013426,0.01513912,-0.02892,0.00257908,0.020562,0.25,-0.0057803,-0.0120838,0.00122354,0.01201128,0.005249,0.02757033,-0.0015112,-0.0116732,-0.013438,-0.007297,0.008239,0.00765069,-0.0137366,-0.0046963,0.03212653,0.04894348,0.003338,0.02056169,0.00652174,0.04210526,0.00369762,0.0023779,0.00169911,-0.0087022,0.01091842,-0.0217,-0.003049742,0.01754386,0.06759099,-0.01232,0.0367284
0.00734894,-0.0011,-0.0715182,0.05263158,0.110738,-0.012871539,-0.0002884,-0.01619,-0.000366,0.02389073,0,-0.1243254,-0.00424968,0.02900729,0.014283,0.03067889,0.058072,0.03111731,0.044472,0.29895507,0.01267632,-0.0239195,0.00745448,-0.013322,-0.01489,0.00147541,0.0104707,-0.023622,0.02209514,-0.001092,-0.02724,0.03752915,-0.0208216,0.01100975,-0.0159224,0.0090179,0.019627,0.04447174,0.02678186,-0.0530303,0.01391731,0,-0.0375594,-0.0295165,0.00873153,0.004578,0.004113924,-0.0344828,0.07792208,-0.01232,-0.0014885
-0.0029722,-0.00578,0.02891892,-0.03,0.10997,-0.00832118,-0.0082519,-0.01103,-0.007322,-0.0070785,0,0.00232558,-0.002845211,0.00297277,0.006735,0.02976571,-0.02666,-0.0050798,-0.012,0.01995012,0.00515765,0.00278474,0.001213,0.00650546,-0.00157,0.00512904,-0.0073529,-0.0120968,0.00712106,0.00886673,-0.0004,0.01913125,-0.0114943,-0.0143124,0.03175182,-0.0066252,0.004685,-0.0119972,0.00967606,-0.0666667,-0.016956,0.00121655,-0.0040788,-0.0079969,0.00356493,0.003341,0.002101061,0,-0.0448795,-0.01232,0.01580203
0.00623306,0.021045,-0.0186499,0,0.222646,-0.010380623,-0.0018448,0.010055,-0.0158584,-1.61E-05,0.0136,0.02238979,-0.009526439,-0.0207477,-0.0296,0.0075986,0.028208,0.01507553,-0.00024,-0.0700371,-0.006723,0.02749236,-0.0136903,-0.0052439,0.002654,0.00971717,-0.0422359,0.05306122,-0.0151768,-0.0273258,0.003802,-0.0639073,-0.0234012,-0.0148359,-0.0247612,0.04180654,-0.00212,-0.0002381,0.0275,0.04095238,0.01026694,0.00510328,-0.0322075,-0.0018501,-0.0035644,-0.06503,-0.014362092,-0.0267857,-0.0100915,-0.01232,0.00939243
-0.010773,-0.00251,0.04710921,0.07216495,-0.09038,-0.001398601,-0.0038267,-0.00682,-0.0191119,-1.61E-05,-0.0242699,-0.016226,-0.015007899,0.01331772,0.037463,-0.059135,0.012792,-0.0231555,-0.08073,0.00067848,0.00188537,-0.0918919,0.00368505,0.00527155,-0.00284,-0.0017742,-0.0045831,0.01550388,-0.0230519,-0.0180494,-0.0014,-0.0126568,0.00297663,-0.0160205,-0.0519889,0.00537057,-0.00729,-0.0807335,-0.0713706,0.00640439,-0.0292683,0.01728723,0.00203751,-0.0292599,0.00112321,-0.00948,0.002020847,0.01834862,-0.0570245,-0.01232,-0.0063972
